ID,IDDevices,DeviceName,ActivationDateTime,Activator,FaultNo,Flags,OutletNo,OutletWIPs,OutletWOPs,OutletWIPWOPs,ActivatorsSerialNo,FeederNo,ToolNo,OperationMode,StudID,StudID_joining_spot,StudID_Series,StudID_Type,StudID_var_steer,StudID_var_roof,StudID_var_make,StudID_fac_name,StudID_tool,SubIndex,Variable1,Variable2,Variable3,Variable4,DeactivationDateTime,DeactivationReason,Deactivator,CarbodyID,SystemWIPs,SystemWOPs,SystemWIPWOPs,DoubleBallWeldingIndex,StudIDInternal,EventType,OldComponentTypeValue,NewComponentTypeValue,AdditionalData
1,46,FS73 180RB200,2018-03-21 12:58:15.0000000,16,20002,0,1,17178,40,17218,140B12401A000000,1,1,160,6200275,,,,,,,,,0,0,0,0,0,2018-03-21 21:24:59.0000000,4,17,,0,0,0,0,,1,0,0,
2,46,FS73 180RB200,2018-03-21 21:34:23.0000000,32,10013,0,1,17179,40,17219,705FF8FF000000AA,1,1,160,6200275,,,,,,,,,0,0,0,0,0,2018-03-21 21:34:29.0000000,1,18,,0,0,0,0,,1,0,0,
3,46,FS73 180RB200,2018-03-21 21:34:23.0000000,32,10030,0,1,17179,40,17219,705FF8FF000000AA,1,1,160,6200275,,,,,,,,,0,0,0,0,0,2018-03-21 21:34:29.0000000,1,18,,0,0,0,0,,1,0,0,
4,46,FS73 180RB200,2018-03-21 21:34:54.0000000,65,17068,0,1,17179,41,17220,70350500010000AC,1,1,160,6200275,,,,,,,,,0,0,0,0,0,2018-03-21 21:35:00.0000000,1,35,,0,0,0,0,,1,0,0,
5,46,FS73 180RB200,2018-03-21 21:35:31.0000000,16,20002,0,1,17179,41,17220,140B12401A000000,1,1,160,6200275,,,,,,,,,0,0,0,0,0,2018-03-21 21:35:37.0000000,2,35,,0,0,0,0,,1,0,0,
6,46,FS73 180RB200,2018-03-21 21:35:47.0000000,16,20002,0,1,17179,41,17220,140B12401A000000,1,1,160,6200275,,,,,,,,,0,0,0,0,0,2018-03-21 21:36:07.0000000,2,35,,0,0,0,0,,1,0,0,
7,46,FS73 180RB200,2018-03-21 21:36:07.0000000,65,17068,0,1,17179,41,17220,70350500010000AC,1,1,160,6200275,,,,,,,,,0,0,0,0,0,2018-03-21 21:36:10.0000000,2,35,,0,0,0,0,,1,0,0,
8,46,FS73 180RB200,2018-03-21 21:36:24.0000000,16,20002,0,1,17179,41,17220,140B12401A000000,1,1,160,6200275,,,,,,,,,0,0,0,0,0,2018-03-21 21:36:55.0000000,2,18,,0,0,0,0,,1,0,0,
9,46,FS73 180RB200,2018-03-21 21:37:05.0000000,16,20002,0,1,17179,41,17220,140B12401A000000,1,1,160,6200275,,,,,,,,,0,0,0,0,0,2018-03-21 21:37:07.0000000,2,35,,0,0,0,0,,1,0,0,
10,46,FS73 180RB200,2018-03-21 21:37:17.0000000,16,20002,0,1,17179,41,17220,140B12401A000000,1,1,160,6200275,,,,,,,,,0,0,0,0,0,2018-03-21 21:37:38.0000000,2,18,,0,0,0,0,,1,0,0,
11,46,FS73 180RB200,2018-03-21 21:37:49.0000000,16,20002,0,1,17179,41,17220,140B12401A000000,1,1,160,6200275,,,,,,,,,0,0,0,0,0,2018-03-21 21:38:02.0000000,1,18,,0,0,0,0,,1,0,0,
12,46,FS73 180RB200,2018-03-21 21:45:38.0000000,16,20002,0,1,17179,41,17220,140B12401A000000,1,1,160,6300104,,,,,,,,,0,0,0,0,0,2018-03-21 21:56:10.0000000,1,18,,0,0,0,0,,1,0,0,
13,46,FS73 180RB200,2018-03-21 22:02:36.0000000,16,20002,0,1,17180,41,17221,140B12401A000000,1,1,160,6300092,,,,,,,,,0,0,0,0,0,2018-03-21 22:02:45.0000000,2,35,,0,0,0,0,,1,0,0,
14,46,FS73 180RB200,2018-03-21 22:03:05.0000000,16,20002,0,1,17181,41,17222,140B12401A000000,1,1,160,6200275,,,,,,,,,0,0,0,0,0,2018-03-21 22:03:06.0000000,2,35,,0,0,0,0,,1,0,0,
15,46,FS73 180RB200,2018-03-21 22:03:15.0000000,16,20002,0,1,17181,41,17222,140B12401A000000,1,1,160,6200275,,,,,,,,,0,0,0,0,0,2018-03-21 22:03:32.0000000,2,35,,0,0,0,0,,1,0,0,
16,46,FS73 180RB200,2018-03-21 22:03:41.0000000,16,20002,0,1,17181,41,17222,140B12401A000000,1,1,160,6200275,,,,,,,,,0,0,0,0,0,2018-03-21 22:03:43.0000000,1,35,,0,0,0,0,,1,0,0,
17,46,FS73 180RB200,2018-03-21 22:03:54.0000000,16,20002,0,1,17181,42,17223,140B12401A000000,1,1,160,6200275,,,,,,,,,0,0,0,0,0,2018-03-21 22:03:57.0000000,1,35,,0,0,0,0,,1,0,0,
